[INFO] [1790367105.590139175] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790367687.096819654] [route_follower]: track: 869/972 m, 102 m left, cte -0.18 m, v 0.50 m/s, grade +10.5%
[INFO] [1790367692.098180418] [route_follower]: track: 872/972 m, 100 m left, cte -0.11 m, v 0.48 m/s, grade +11.1%
[INFO] [1790367697.106795490] [route_follower]: track: 874/972 m, 97 m left, cte -0.03 m, v 0.48 m/s, grade +11.1%
[INFO] [1790367702.111169902] [route_follower]: track: 876/972 m, 95 m left, cte -0.04 m, v 0.48 m/s, grade +11.4%
[INFO] [1790367707.129207825] [route_follower]: track: 879/972 m, 93 m left, cte -0.04 m, v 0.48 m/s, grade +11.4%
[INFO] [1790367712.131545650] [route_follower]: track: 881/972 m, 90 m left, cte -0.07 m, v 0.47 m/s, grade +11.7%
[INFO] [1790367717.138723123] [route_follower]: track: 883/972 m, 88 m left, cte -0.06 m, v 0.47 m/s, grade +11.7%
[INFO] [1790367722.153265351] [route_follower]: track: 886/972 m, 86 m left, cte -0.14 m, v 0.48 m/s, grade +11.3%
[INFO] [1790367727.183110138] [route_follower]: track: 888/972 m, 83 m left, cte -0.05 m, v 0.48 m/s, grade +11.3%
[INFO] [1790367732.192203120] [route_follower]: track: 891/972 m, 81 m left, cte +0.01 m, v 0.51 m/s, grade +9.8%
[INFO] [1790367737.205391737] [route_follower]: track: 893/972 m, 78 m left, cte -0.01 m, v 0.53 m/s, grade +8.5%
[INFO] [1790367742.223158500] [route_follower]: track: 896/972 m, 76 m left, cte -0.02 m, v 0.53 m/s, grade +8.5%
[INFO] [1790367747.229409608] [route_follower]: track: 898/972 m, 73 m left, cte -0.01 m, v 0.54 m/s, grade +7.7%
[INFO] [1790367752.234481894] [route_follower]: track: 901/972 m, 70 m left, cte +0.00 m, v 0.54 m/s, grade +7.7%
[INFO] [1790367757.250763810] [route_follower]: track: 904/972 m, 68 m left, cte -0.08 m, v 0.54 m/s, grade +6.9%
[INFO] [1790367762.277180118] [route_follower]: track: 906/972 m, 65 m left, cte -0.03 m, v 0.54 m/s, grade +6.9%
[INFO] [1790367767.279638891] [route_follower]: track: 909/972 m, 62 m left, cte -0.01 m, v 0.54 m/s, grade +6.6%
