[INFO] [1790328173.730849004] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790328753.911792392] [route_follower]: track: 873/972 m, 98 m left, cte +0.07 m, v 0.48 m/s, grade +11.1%
[INFO] [1790328758.911896545] [route_follower]: track: 876/972 m, 96 m left, cte +0.06 m, v 0.48 m/s, grade +11.4%
[INFO] [1790328763.911393984] [route_follower]: track: 878/972 m, 94 m left, cte -0.04 m, v 0.48 m/s, grade +11.4%
[INFO] [1790328768.913015691] [route_follower]: track: 880/972 m, 91 m left, cte +0.02 m, v 0.47 m/s, grade +11.7%
[INFO] [1790328773.911456998] [route_follower]: track: 883/972 m, 89 m left, cte -0.07 m, v 0.47 m/s, grade +11.7%
[INFO] [1790328778.911692065] [route_follower]: track: 885/972 m, 86 m left, cte -0.10 m, v 0.48 m/s, grade +11.3%
[INFO] [1790328783.912131083] [route_follower]: track: 887/972 m, 84 m left, cte -0.04 m, v 0.48 m/s, grade +11.3%
[INFO] [1790328788.913885548] [route_follower]: track: 890/972 m, 82 m left, cte +0.01 m, v 0.51 m/s, grade +9.8%
[INFO] [1790328793.911742643] [route_follower]: track: 892/972 m, 79 m left, cte +0.02 m, v 0.51 m/s, grade +9.8%
[INFO] [1790328798.913927963] [route_follower]: track: 895/972 m, 76 m left, cte +0.01 m, v 0.53 m/s, grade +8.5%
[INFO] [1790328803.911402954] [route_follower]: track: 898/972 m, 74 m left, cte -0.01 m, v 0.53 m/s, grade +8.5%
[INFO] [1790328808.911938853] [route_follower]: track: 900/972 m, 71 m left, cte +0.02 m, v 0.54 m/s, grade +7.7%
[INFO] [1790328813.911849875] [route_follower]: track: 903/972 m, 68 m left, cte +0.01 m, v 0.54 m/s, grade +7.7%
[INFO] [1790328818.913551401] [route_follower]: track: 906/972 m, 66 m left, cte +0.00 m, v 0.54 m/s, grade +6.9%
[INFO] [1790328823.912299641] [route_follower]: track: 908/972 m, 63 m left, cte +0.03 m, v 0.54 m/s, grade +6.6%
[INFO] [1790328828.911778786] [route_follower]: track: 911/972 m, 60 m left, cte -0.06 m, v 0.54 m/s, grade +6.6%
[INFO] [1790328833.911220241] [route_follower]: track: 914/972 m, 58 m left, cte -0.07 m, v 0.54 m/s, grade +5.5%
[INFO] [1790328838.911730662] [route_follower]: track: 917/972 m, 55 m left, cte -0.11 m, v 0.54 m/s, grade +5.5%
[INFO] [1790328843.920496424] [route_follower]: track: 919/972 m, 52 m left, cte -0.03 m, v 0.54 m/s, grade +4.9%
[INFO] [1790328848.919558770] [route_follower]: track: 922/972 m, 50 m left, cte -0.06 m, v 0.54 m/s, grade +4.9%
[INFO] [1790328853.922313093] [route_follower]: track: 925/972 m, 47 m left, cte -0.00 m, v 0.54 m/s, grade +4.7%
[INFO] [1790328858.920110417] [route_follower]: track: 927/972 m, 44 m left, cte -0.01 m, v 0.54 m/s, grade +4.7%
[INFO] [1790328863.918620882] [route_follower]: track: 930/972 m, 42 m left, cte -0.02 m, v 0.54 m/s, grade +3.7%
[INFO] [1790328868.920259671] [route_follower]: track: 933/972 m, 39 m left, cte -0.00 m, v 0.54 m/s, grade +3.7%
[INFO] [1790328873.920925794] [route_follower]: track: 935/972 m, 36 m left, cte +0.01 m, v 0.54 m/s, grade +3.0%
[INFO] [1790328878.921833207] [route_follower]: track: 938/972 m, 34 m left, cte +0.00 m, v 0.54 m/s, grade +3.0%
