[INFO] [1790328953.199185537] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790329274.016156412] [route_follower]: track: 735/972 m, 236 m left, cte -0.10 m, v 0.54 m/s, grade +4.2%
[INFO] [1790329279.015870236] [route_follower]: track: 738/972 m, 234 m left, cte -0.12 m, v 0.54 m/s, grade +4.2%
[INFO] [1790329284.015920598] [route_follower]: track: 741/972 m, 231 m left, cte +0.02 m, v 0.54 m/s, grade +4.1%
[INFO] [1790329289.016760885] [route_follower]: track: 743/972 m, 228 m left, cte -0.03 m, v 0.54 m/s, grade +4.2%
[INFO] [1790329294.016519462] [route_follower]: track: 746/972 m, 225 m left, cte -0.10 m, v 0.54 m/s, grade +4.2%
[INFO] [1790329299.015897859] [route_follower]: track: 749/972 m, 223 m left, cte +0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790329304.016478862] [route_follower]: track: 752/972 m, 220 m left, cte -0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790329309.019569654] [route_follower]: track: 754/972 m, 217 m left, cte -0.07 m, v 0.54 m/s, grade +4.4%
[INFO] [1790329314.016948556] [route_follower]: track: 757/972 m, 214 m left, cte +0.06 m, v 0.54 m/s, grade +4.2%
[INFO] [1790329319.016395972] [route_follower]: track: 760/972 m, 211 m left, cte +0.00 m, v 0.54 m/s, grade +4.5%
[INFO] [1790329324.017200492] [route_follower]: track: 763/972 m, 209 m left, cte -0.08 m, v 0.54 m/s, grade +4.5%
[INFO] [1790329329.016485194] [route_follower]: track: 766/972 m, 206 m left, cte -0.15 m, v 0.54 m/s, grade +5.4%
[INFO] [1790329334.019396761] [route_follower]: track: 769/972 m, 203 m left, cte -0.08 m, v 0.54 m/s, grade +5.8%
[INFO] [1790329339.018127137] [route_follower]: track: 771/972 m, 200 m left, cte -0.06 m, v 0.54 m/s, grade +5.8%
[INFO] [1790329344.018662385] [route_follower]: track: 774/972 m, 197 m left, cte -0.15 m, v 0.54 m/s, grade +5.3%
[INFO] [1790329349.033216769] [route_follower]: track: 777/972 m, 195 m left, cte -0.09 m, v 0.54 m/s, grade +5.3%
